sku,instanceType,family,regionCode,location,operatingSystem,tenancy,vcpu,memory_gb,price_usd_hour,unit,price_per_vcpu,price_per_gb
ARPJFM962U4P5HAT,c4.4xlarge,c4,us-east-1,US East (N. Virginia),Linux,Shared,16.0,30.0,0.796,Hrs,0.04975,0.0265333333333333
ARYMV2CPSEJ67JU3,c8gd.12xlarge,c8gd,us-east-1,US East (N. Virginia),Linux,Shared,48.0,96.0,2.35152,Hrs,0.04899,0.024495
ASDZTDFMC5425T7P,m3.medium,m3,us-east-1,US East (N. Virginia),Linux,Shared,1.0,3.75,0.067,Hrs,0.067,0.0178666666666666
AT6DSBCRVXEJW6SV,i7i.48xlarge,i7i,us-east-1,US East (N. Virginia),Linux,Shared,192.0,1536.0,18.121,Hrs,0.0943802083333333,0.0117975260416666
AUEW533J2NUFHYPC,is4gen.xlarge,is4gen,us-east-1,US East (N. Virginia),Linux,Shared,4.0,24.0,0.5763,Hrs,0.144075,0.0240125
AW4EHTYD5EGGQDYR,r5ad.2xlarge,r5ad,us-east-1,US East (N. Virginia),Linux,Shared,8.0,64.0,0.524,Hrs,0.0655,0.0081875
AXASPP2B5PTVEWWQ,r5n.large,r5n,us-east-1,US East (N. Virginia),Linux,Shared,2.0,16.0,0.149,Hrs,0.0745,0.0093125
AXUZURG6T4WKQNT5,m8g.medium,m8g,us-east-1,US East (N. Virginia),Linux,Shared,1.0,4.0,0.04488,Hrs,0.04488,0.01122
B2P7NE4FUVRSTDUY,c6a.large,c6a,us-east-1,US East (N. Virginia),Linux,Shared,2.0,4.0,0.0765,Hrs,0.03825,0.019125
B47GKYCS48N2C8YQ,gr6.8xlarge,gr6,us-east-1,US East (N. Virginia),Linux,Shared,32.0,256.0,2.4464,Hrs,0.07645,0.00955625
B4JUK3U7ZG63RGSF,c3.4xlarge,c3,us-east-1,US East (N. Virginia),Linux,Shared,16.0,30.0,0.84,Hrs,0.0525,0.028
B8JJ44GS8MG4RPR4,m6i.large,m6i,us-east-1,US East (N. Virginia),Linux,Shared,2.0,8.0,0.096,Hrs,0.048,0.012
B9CQBH4FXSKWQPFQ,c6g.metal,c6g,us-east-1,US East (N. Virginia),Linux,Shared,64.0,128.0,2.176,Hrs,0.034,0.017
B9VFBKCYKPGPZRTD,m7a.24xlarge,m7a,us-east-1,US East (N. Virginia),Linux,Shared,96.0,384.0,5.56416,Hrs,0.05796,0.01449
BAJ4EMX3UX7EJKNH,x8g.xlarge,x8g,us-east-1,US East (N. Virginia),Linux,Shared,4.0,64.0,0.3908,Hrs,0.0977,0.00610625
BAXBKKEETJ3KSTDS,x2iedn.24xlarge,x2iedn,us-east-1,US East (N. Virginia),Linux,Shared,96.0,3072.0,20.007,Hrs,0.20840625,0.0065126953125
BB23F59X4RZR8UZ8,x2gd.12xlarge,x2gd,us-east-1,US East (N. Virginia),Linux,Shared,48.0,768.0,4.008,Hrs,0.0835,0.00521875
BC9VGNY9VUV8JM88,r5b.metal,r5b,us-east-1,US East (N. Virginia),Linux,Shared,96.0,768.0,7.152,Hrs,0.0745,0.0093125
BFNU5RYF8AXER874,r6a.16xlarge,r6a,us-east-1,US East (N. Virginia),Linux,Shared,64.0,512.0,3.6288,Hrs,0.0567,0.0070875
BG96DUJ9RSHM7FAX,c6gn.8xlarge,c6gn,us-east-1,US East (N. Virginia),Linux,Shared,32.0,64.0,1.3824,Hrs,0.0432,0.0216
BGBURZK3BWT3KCTM,c6gd.12xlarge,c6gd,us-east-1,US East (N. Virginia),Linux,Shared,48.0,96.0,1.8432,Hrs,0.0384,0.0192
BKZ6G97WH3KSNT2S,i7i.24xlarge,i7i,us-east-1,US East (N. Virginia),Linux,Shared,96.0,768.0,9.0605,Hrs,0.0943802083333333,0.0117975260416666
BMMFWWDHMX5PVJD9,d3en.12xlarge,d3en,us-east-1,US East (N. Virginia),Linux,Shared,48.0,192.0,6.30864,Hrs,0.13143,0.0328575
BMQWY9RQTGZ4S94C,c7i.48xlarge,c7i,us-east-1,US East (N. Virginia),Linux,Shared,192.0,384.0,8.568,Hrs,0.044625,0.0223125
BPC4TM9XDNEB8ZKH,c5d.18xlarge,c5d,us-east-1,US East (N. Virginia),Linux,Shared,72.0,144.0,3.456,Hrs,0.048,0.024
BPF87K952T5GXMDE,c6in.8xlarge,c6in,us-east-1,US East (N. Virginia),Linux,Shared,32.0,64.0,1.8144,Hrs,0.0567,0.02835
BQ5WGK39DER396H2,m7i-flex.xlarge,m7i-flex,us-east-1,US East (N. Virginia),Linux,Shared,4.0,16.0,0.19152,Hrs,0.04788,0.01197
BQE6XQ9SJ9ZWTHDX,m7i.48xlarge,m7i,us-east-1,US East (N. Virginia),Linux,Shared,192.0,768.0,9.6768,Hrs,0.0504,0.0126
BTHEJ2PZUWZ5Y58Z,c7a.2xlarge,c7a,us-east-1,US East (N. Virginia),Linux,Shared,8.0,16.0,0.41056,Hrs,0.05132,0.02566
BVQ3EAHDZJGA6N5B,r6in.24xlarge,r6in,us-east-1,US East (N. Virginia),Linux,Shared,96.0,768.0,8.36784,Hrs,0.0871649999999999,0.0108956249999999
BW3P9HVG95TWGHS5,c8gd.medium,c8gd,us-east-1,US East (N. Virginia),Linux,Shared,1.0,2.0,0.04899,Hrs,0.04899,0.024495
C3P8X7JNNDZ733X8,m8gd.48xlarge,m8gd,us-east-1,US East (N. Virginia),Linux,Shared,192.0,768.0,11.07072,Hrs,0.0576599999999999,0.0144149999999999
C5XHAH97542DCJ2X,m8gd.medium,m8gd,us-east-1,US East (N. Virginia),Linux,Shared,1.0,4.0,0.05766,Hrs,0.05766,0.014415
C5Z8YF9C6FZGQSKX,g6e.16xlarge,g6e,us-east-1,US East (N. Virginia),Linux,Shared,64.0,512.0,7.57719,Hrs,0.11839359375,0.01479919921875
C8HQ8EMWKCRJJQSV,r6idn.8xlarge,r6idn,us-east-1,US East (N. Virginia),Linux,Shared,32.0,256.0,3.12624,Hrs,0.097695,0.012211875
C8TP7NV93HBVY8JZ,r7i.large,r7i,us-east-1,US East (N. Virginia),Linux,Shared,2.0,16.0,0.1323,Hrs,0.06615,0.00826875
C9XXJSNXARN7XGHA,x8g.4xlarge,x8g,us-east-1,US East (N. Virginia),Linux,Shared,16.0,256.0,1.5632,Hrs,0.0977,0.00610625
